,District,Name.of.Local.Level,llcode,Province,Ward,Employer.Name
176,610,Birendranagar,61006,Karnali,1,"Mount Everest Secondary School, Birendranagar-1, Surkhet"
177,705,Amargadhi,70502,Sudurpaschim,5,Amargadhi Saving and Credit Cooperative Ltd
178,706,Dipayal Silgadhi,70605,Sudurpaschim,5,Equality Development Centre
179,708,Dhangadhi,70813,Sudurpaschim,4,National Academy of Science and Technology
180,708,Ghodaghodi,70805,Sudurpaschim,2,tilakarnali saving and credit co-operative ltd
181,708,Godawari,70803,Sudurpaschim,2,Bhageshwor Agro Industries Pvt Ltd
182,708,Godawari,70803,Sudurpaschim,1,Khaptad Laghubitta Bittiya Sanstha Limited
183,708,Lamki Chuha,70807,Sudurpaschim,4,Matribhumi Laghubitta Bittiya Sanstha Limited
184,709,Beldandi,70909,Sudurpaschim,4,Bageshwori Bahuuddshayey Sahakari Sastha Ltd.
185,709,Bhimdatta,70904,Sudurpaschim,18,BALAJI FRUIT CHAMBER
186,709,Bhimdatta,70904,Sudurpaschim,6,Vinay Group Pvt.Ltd.
187,709,Krishnapur,70901,Sudurpaschim,4,Jagdamba Alco Bev
188,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA
190,NA,NA,NA,NA,NA,NA
191,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,NA
194,NA,NA,NA,NA,NA,NA
195,NA,NA,NA,NA,NA,NA
196,NA,NA,NA,NA,NA,NA
