"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"1938",8000,145000,-89000,-150000,61000,0,0,17800,-15200,171600,90000,0,2162,0,45000,1120,2162,263762,-0.0576277098293158
"1950",8074,0,-800,0,0,0,0,0,-800,163280,10300,0,0,0,10000,5000,0,173580,-0.00460882590160157
"1954",8100,0,-20400,-420000,0,0,0,0,-440400,164840,0,0,6900,0,13200,0,6900,171740,-2.56434144637242
"1957",8110,12000,-29300,-166000,0,0,0,0,-183300,68900,0,0,0,0,50000,0,0,68900,-2.66037735849057
"1962",8142,0,0,-180000,0,0,0,0,-180000,146328,41000,0,0,0,8800,0,0,187328,-0.960881448582166
"1973",8176,124000,139002,-372000,25000,0,0,0,-83998,183560,0,0,0,3000,5000,0,3000,186560,-0.450246569468268
"1980",8199,0,-79725,-115000,0,1e+05,0,0,-94725,171340,0,0,8000,0,70000,0,8000,179340,-0.528186684509869
"2011",8293,0,0,-1500000,32000,552500,0,0,-915500,326560,54000,0,2100,0,4e+05,0,2100,382660,-2.39246328333246
"2020",8304,0,-145500,0,96000,-15000,0,0,-64500,650000,105700,0,90500,0,50000,10000,90500,846200,-0.0762231151028126
"2043",8383,0,438102,-1380000,0,0,0,0,-941898,239200,309500,137000,89800,0,3e+05,0,226800,775500,-1.21456866537718
"2063",8521,0,-10550,0,0,0,0,0,-10550,5200,0,0,0,0,16000,0,0,5200,-2.02884615384615
"2099",8761,0,0,-360000,48000,0,72000,20000,-220000,180180,36800,0,1000,0,0,0,1000,217980,-1.00926690522066
"2106",8815,0,-3900,0,0,0,0,0,-3900,0,0,0,0,0,10000,0,0,0,-Inf
"2177",9288,0,85300,0,48000,-180000,0,0,-46700,283920,39200,0,9000,450,40000,0,9450,332570,-0.140421565384731
"2191",9372,0,-1000,0,0,0,0,0,-1000,0,0,0,0,0,130000,0,0,0,-Inf
"2192",9375,0,-10700,0,0,0,0,0,-10700,0,0,0,0,0,54000,8800,0,0,-Inf
"2193",9378,0,-10300,0,0,0,0,0,-10300,0,0,0,0,0,50000,15000,0,0,-Inf
"2194",9381,0,-7950,0,0,0,0,0,-7950,0,0,0,0,0,20000,0,0,0,-Inf
"2196",9390,0,-15200,0,0,0,0,0,-15200,0,0,0,0,0,50000,1500,0,0,-Inf
"2197",9395,0,-4000,0,0,0,0,0,-4000,0,0,0,0,0,178000,0,0,0,-Inf
"2198",9399,0,-18500,0,0,0,0,0,-18500,0,0,0,0,0,20000,23000,0,0,-Inf
"2199",9416,0,-2100,0,0,0,0,0,-2100,0,0,0,0,1100,20000,15000,1100,1100,-1.90909090909091
"2200",9419,0,-13100,0,0,0,0,0,-13100,0,0,0,0,2300,18000,8000,2300,2300,-5.69565217391304
"2204",9424,0,-20000,0,0,0,0,0,-20000,0,0,0,0,1100,10000,5000,1100,1100,-18.1818181818182
"2208",9433,0,-5500,0,0,0,0,0,-5500,0,0,0,0,0,60000,0,0,0,-Inf
"2209",9495,0,-72200,0,0,0,0,0,-72200,0,0,0,0,20000,50000,0,20000,20000,-3.61
"2211",9528,0,-18000,0,0,0,0,0,-18000,0,0,0,0,0,70000,5000,0,0,-Inf
"2213",9561,0,-1900,0,0,0,0,0,-1900,0,0,0,0,0,4800,24000,0,0,-Inf
"2214",9568,0,-1000,0,0,0,0,0,-1000,0,0,0,0,0,2800,0,0,0,-Inf
"2216",9590,0,-34200,0,0,0,0,0,-34200,0,0,0,0,1440,5000,0,1440,1440,-23.75
"2218",9597,0,-22800,0,0,0,0,0,-22800,0,0,0,0,0,2e+05,0,0,0,-Inf
"2222",9620,0,-33500,0,0,0,0,0,-33500,0,0,0,0,1000,120000,2000,1000,1000,-33.5
"2223",9624,0,-9998,0,0,0,0,0,-9998,0,0,0,0,0,2000,0,0,0,-Inf
"2227",9639,0,-63000,0,0,0,0,0,-63000,0,0,0,0,0,2100,0,0,0,-Inf
"2229",9645,0,-11000,0,0,0,0,0,-11000,0,0,0,0,0,72000,5500,0,0,-Inf
"2230",9648,0,-9500,0,0,0,0,0,-9500,0,0,0,0,0,9000,800,0,0,-Inf
"2232",9655,0,-7408,0,0,0,0,0,-7408,0,0,0,0,0,260000,0,0,0,-Inf
"2235",9751,0,-31000,0,0,0,0,0,-31000,0,0,0,0,2740,150000,0,2740,2740,-11.3138686131387
"2236",9757,0,-10500,0,0,0,0,0,-10500,0,0,0,0,0,42000,5000,0,0,-Inf
"2237",9760,0,-6998,0,0,0,0,0,-6998,0,0,0,0,0,10000,300,0,0,-Inf
"2238",9798,0,-34500,0,0,0,0,0,-34500,0,0,0,0,0,10000,150,0,0,-Inf
"2239",9801,0,-14150,0,0,0,0,0,-14150,0,0,0,0,0,160000,0,0,0,-Inf
