"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"141",2132,3e+05,0,0,0,0,240000,28800,568800,582452,97500,0,0,0,70000,45000,0,679952,0.836529637386168
"142",2133,1e+05,0,0,0,0,0,13950,113950,557960,248110,0,0,0,55000,0,0,806070,0.141364893867778
"143",2134,0,0,0,0,552000,0,5000,557000,619060,138600,0,0,0,60000,0,0,757660,0.735158250402555
"144",2135,0,-7500,300600,0,0,0,0,293100,235560,80,0,0,2250,40000,0,2250,237890,1.23208205473118
"145",2136,117000,0,0,0,0,0,5000,122000,239720,137000,0,30850,0,40000,0,30850,407570,0.299335083543931
"146",2163,0,0,0,0,1e+05,0,0,1e+05,268320,29500,0,0,550,8000,0,550,298370,0.335154338572913
"147",2164,395000,0,0,6000,0,0,1000,402000,241800,64900,0,0,0,10000,0,0,306700,1.31072709488099
"148",2166,0,-28900,-7000,48000,0,0,0,12100,386880,0,0,0,12150,20000,0,12150,399030,0.0303235345713355
"149",2167,355000,-15100,265000,0,0,0,2000,606900,348400,0,0,0,0,3000,0,0,348400,1.74196326061998
"150",2187,0,0,0,0,6000,0,0,6000,91780,0,0,2244,0,752,3062,2244,94024,0.0638134944269548
"151",2201,471700,400450,0,0,0,0,13333,885483,1066520,0,0,0,0,20000,0,0,1066520,0.830254472489967
"152",2204,435176,-9792,0,0,0,0,1000,426384,172068,28400,0,0,0,6000,0,0,200468,2.12694295348884
"153",2219,284000,-40000,0,0,0,0,0,244000,846040,101400,0,6768,0,7000,0,6768,954208,0.255709446996881
"154",2221,85000,2600,997500,48000,0,0,243199,1376299,226980,92350,150500,317600,0,450000,0,468100,787430,1.74783663309755
"155",2222,0,0,-70000,0,-820000,0,5000,-885000,338000,25500,0,0,0,20000,0,0,363500,-2.43466299862448
"156",2223,0,-23216,7e+05,0,0,0,6000,682784,219908,0,0,18544,0,35000,21000,18544,238452,2.86340227802661
"157",2225,480000,5600,0,48000,0,0,2000,535600,528736,63120,0,19920,0,0,0,19920,611776,0.875483837221467
"158",2227,0,-10450,0,48000,0,0,505400,542950,209560,0,0,3800,70,8000,0,3870,213430,2.54392540879914
"159",2229,2425000,-950,0,96000,240000,0,61250,2821300,521196,0,0,19350,0,30000,0,19350,540546,5.21935228454193
"160",2231,1435000,0,0,0,0,0,0,1435000,1444560,83000,0,213550,24000,20000,0,237550,1765110,0.81298049413351
"161",2234,16000,351970,0,0,0,0,346160,714130,187200,0,0,34200,0,36000,0,34200,221400,3.22551942186089
"162",2235,0,6700,0,0,0,0,1440,8140,270140,0,0,45639,0,50000,0,45639,315779,0.0257775216211338
"163",2236,112000,-1600,6e+05,32000,0,0,700,743100,242840,10600,0,120800,0,110400,0,120800,374240,1.98562419837537
"164",2237,200500,0,0,48000,0,0,0,248500,67600,0,0,2640,0,3000,0,2640,70240,3.5378701594533
"165",2244,467000,0,0,0,0,0,11500,478500,152880,0,0,0,0,12000,9000,0,152880,3.12990580847724
